malicious_package_name,benign_package_name,repeated_characters,omitted_characters,rearranged_characters,swapped_characters,swapped_words,detect_typos,highest_ratio_package,ratio,,ratio_correct,,ratio_accuracy
wallet-address-validtaor,wallet-address-validator,n/a,ws,wallet-address-validator,wallet-address-validator,address,n/a,wallet-address-validator,96,,TRUE,,
wallet-address-vaildator,wallet-address-validator,n/a,ws,wallet-address-validator,wallet-address-validator,address,n/a,wallet-address-validator,96,,TRUE,,
singale,signale,n/a,@svgr/babel-plugin-svg-dynamic-title,signale,signale,n/a,n/a,signale,86,,TRUE,,
signqle,signale,n/a,q,n/a,n/a,n/a,signale,signale,86,,TRUE,,
siganle,signale,n/a,sane,signale,signale,n/a,n/a,signale,86,,TRUE,,
babel-laoder,babel-loader,n/a,d,babel-loader,babel-loader,babel,n/a,babel-loader,92,,TRUE,,
babel-loadre,babel-loader,n/a,d,babel-loader,babel-loader,babel,n/a,babel-loader,92,,TRUE,,
babel-loqder,babel-loader,n/a,q,n/a,n/a,babel,babel-loader,babel-loader,92,,TRUE,,
baes-x,base-x,n/a,@babel/helper-split-export-declaration,base-x,base-x,n/a,n/a,base-x,83,,TRUE,,
bconi,bcoin,n/a,@babel/helper-get-function-arity,n/a,n/a,n/a,n/a,config,73,,FALSE,,
bcion,bcoin,n/a,brace-expansion,n/a,n/a,n/a,n/a,objection,71,,FALSE,,
bictoin-ops,bitcoin-ops,n/a,co,bitcoin-ops,bitcoin-ops,n/a,n/a,bitcoin-ops,91,,TRUE,,
bictoind-rpc,bitcoind-rpc,n/a,co,n/a,n/a,n/a,n/a,bitcoin-ops,70,,FALSE,,
bictoinjs-lib,bitcoinjs-lib,n/a,tslib,bitcoinjs-lib,bitcoinjs-lib,n/a,n/a,bitcoinjs-lib,92,,TRUE,,
bictore-lib,bitcore-lib,n/a,co,bitcore-lib,bitcore-lib,n/a,n/a,bitcore-lib,91,,TRUE,,
bitcion-ops,bitcoin-ops,n/a,co,bitcoin-ops,bitcoin-ops,n/a,n/a,bitcoin-ops,91,,TRUE,,
bitcionjs,bitcoinjs,n/a,co,n/a,n/a,n/a,n/a,bitcoinjs-lib,73,,FALSE,,
bitcionjslib,bitcoinjs-lib,n/a,tslib,n/a,n/a,n/a,n/a,bitcoinjs-lib,88,,TRUE,,
bitcoijns-lib,bitcoinjs-lib,n/a,tslib,bitcoinjs-lib,bitcoinjs-lib,n/a,n/a,bitcoinjs-lib,92,,TRUE,,
bitcoimd-rpc,bitcoind-rpc,n/a,tmp,n/a,n/a,n/a,n/a,bitcoin-ops,70,,FALSE,,
bitcoimjs-lib,bitcoinjs-lib,n/a,ms,n/a,n/a,n/a,bitcoinjs-lib,bitcoinjs-lib,92,,TRUE,,
bitcoisnj-lib,bitcoinjs-lib,n/a,tslib,bitcoinjs-lib,n/a,n/a,n/a,bitcoinjs-lib,92,,TRUE,,
bitconi-ops,bitcoin-ops,n/a,ini,bitcoin-ops,bitcoin-ops,n/a,n/a,bitcoin-ops,91,,TRUE,,
bitconid-rpc,bitcoind-rpc,n/a,ini,n/a,n/a,n/a,n/a,bitcoin-ops,70,,FALSE,,
bitconijs-lib,bitcoinjs-lib,n/a,tslib,bitcoinjs-lib,bitcoinjs-lib,n/a,n/a,bitcoinjs-lib,92,,TRUE,,
bitcroe-lib,bitcore-lib,n/a,co,bitcore-lib,bitcore-lib,n/a,n/a,bitcore-lib,91,,TRUE,,
bs58chcek,bs58check,n/a,he,bs58check,bs58check,n/a,n/a,bs58check,89,,TRUE,,
bs58chek,bs58check,n/a,he,n/a,n/a,n/a,n/a,bs58check,94,,TRUE,,
bs58chekc,bs58check,n/a,he,bs58check,bs58check,n/a,n/a,bs58check,89,,TRUE,,
bs85,bs58,n/a,n/a,bs58,bs58,n/a,n/a,bs58,75,,TRUE,,
bs85check,bs58check,n/a,he,bs58check,bs58check,n/a,n/a,bs58check,89,,TRUE,,
bsae-x,base-x,n/a,sax,base-x,base-x,n/a,n/a,base-x,83,,TRUE,,
cionstring,coinstring,n/a,ini,coinstring,coinstring,n/a,n/a,coinstring,90,,TRUE,,
coinpayment,coinpayments,n/a,nan,n/a,n/a,n/a,n/a,payment,78,,FALSE,,
coinstirng,coinstring,n/a,ini,coinstring,coinstring,n/a,n/a,coinstring,90,,TRUE,,
coinstrig,coinstring,n/a,ini,n/a,n/a,n/a,n/a,coinstring,95,,TRUE,,
coinstrng,coinstring,n/a,co,n/a,n/a,n/a,n/a,coinstring,95,,TRUE,,
commandre,commander,n/a,co,commander,commander,n/a,n/a,commander,89,,TRUE,,
commanedr,commander,n/a,co,commander,commander,n/a,n/a,commander,89,,TRUE,,
conistring,coinstring,n/a,co,coinstring,coinstring,n/a,n/a,coinstring,90,,TRUE,,
crpyto-js,crypto-js,n/a,co,crypto-js,crypto-js,n/a,n/a,crypto-js,89,,TRUE,,
crytpo-js,crypto-js,n/a,co,crypto-js,crypto-js,n/a,n/a,crypto-js,89,,TRUE,,
cxt,ccxt,ccxt,process-nextick-args,n/a,n/a,n/a,cst,ccxt,86,,TRUE,,
degbu,debug,n/a,d,debug,n/a,n/a,n/a,debug,80,,TRUE,,
ecruve,ecurve,n/a,@svgr/babel-plugin-replace-jsx-attribute-value,ecurve,ecurve,n/a,n/a,ecurve,83,,TRUE,,
ecuvre,ecurve,n/a,recursive-readdir,ecurve,ecurve,n/a,n/a,ecurve,83,,TRUE,,
dhkey,hdkey,n/a,he,hdkey,hdkey,n/a,n/a,hdkey,80,,TRUE,,
hdeky,hdkey,n/a,he,hdkey,hdkey,n/a,n/a,hdkey,80,,TRUE,,
fs-extar,fs-extra,n/a,tar,fs-extra,fs-extra,fs,n/a,fs-extra,88,,TRUE,,
hdkye,hdkey,n/a,he,hdkey,hdkey,n/a,n/a,hdkey,80,,TRUE,,
hw-trnasport-u2f,hw-transport-u2f,n/a,ws,n/a,n/a,n/a,n/a,@ledgerhq/hw-transport-u2f,73,,FALSE,,
path-to-regxep,path-to-regexp,n/a,he,path-to-regexp,path-to-regexp,path,n/a,path-to-regexp,93,,TRUE,,
rceat,react,n/a,source-map-support,react,n/a,n/a,n/a,react,80,,TRUE,,
riped160,ripemd160,n/a,ripemd160,n/a,n/a,n/a,n/a,ripemd160,94,,TRUE,,
ripedm160,ripemd160,n/a,ip,ripemd160,ripemd160,n/a,n/a,ripemd160,89,,TRUE,,
ripmed160,ripemd160,n/a,ip,ripemd160,ripemd160,n/a,n/a,ripemd160,89,,TRUE,,
sb58,bs58,n/a,@types/bs58,bs58,bs58,n/a,n/a,bs58,75,,TRUE,,
scryptys,scryptsy,n/a,crypt,scryptsy,scryptsy,n/a,n/a,scryptsy,88,,TRUE,,
scrytsy,scryptsy,n/a,scryptsy,n/a,n/a,n/a,n/a,scryptsy,93,,TRUE,,
