package_name,weekly_downloads
@babel/plugin-transform-exponentiation-operator,5867383
ansi-align,5866083
figgy-pudding,5864046
babel-plugin-istanbul,5848806
@babel/plugin-transform-sticky-regex,5844712
react-dom,5841981
babel-core,5838568
num2fraction,5836343
lodash.template,5824769
boolbase,5821896
icss-utils,5814139
jest-snapshot,5811616
unicode-match-property-value-ecmascript,5809906
babel-types,5800714
loglevel,5800488
normalize-range,5799199
builtin-modules,5778477
@babel/plugin-syntax-async-generators,5770516
cli-boxes,5747041
webpack-log,5746325
@babel/plugin-syntax-dynamic-import,5743182
import-lazy,5739886
jest-environment-jsdom,5734073
sane,5733169
lodash.templatesettings,5731213
ajv-errors,5731009
lodash.memoize,5729023
type,5728623
bser,5724070
@babel/plugin-transform-typeof-symbol,5715764
symbol-tree,5715296
unicode-canonical-property-names-ecmascript,5692454
expect,5676074
ramda,5668547
unicode-property-aliases-ecmascript,5660274
jest-environment-node,5653074
window-size,5649862
webpack-dev-server,5647228
@babel/plugin-proposal-json-strings,5644547
html-entities,5642749
http-proxy-middleware,5642197
crypto-random-string,5640415
jest-config,5639182
@babel/plugin-syntax-json-strings,5638413
mdn-data,5634444
jest-jasmine2,5624857
core-js-compat,5602684
encoding,5595639
lodash.uniq,5593574
postcss-load-config,5591544
ansi-html,5569143
unicode-match-property-ecmascript,5568672
unique-string,5568533
whatwg-encoding,5553867
coa,5530496
postcss-loader,5521067
array-equal,5521064
mini-css-extract-plugin,5511789
nwsapi,5508701
uniq,5503149
fb-watchman,5502597
timed-out,5502434
browser-resolve,5500435
lodash.sortby,5492921
@xtuc/ieee754,5484187
jest-runtime,5463298
jest-cli,5456171
d,5449222
original,5429978
jest,5425111
jest-serializer,5421149
jest-resolve-dependencies,5409750
jest-changed-files,5402780
js-levenshtein,5386735
shellwords,5384736
merge2,5384436
batch,5363613
parent-module,5354215
html-encoding-sniffer,5347672
growly,5342873
is-retry-allowed,5337025
shelljs,5321788
indexes-of,5321716
node-int64,5318879
@types/events,5318163
widest-line,5318084
@babel/helper-create-class-features-plugin,5315864
homedir-polyfill,5302190
detect-newline,5294636
fd-slicer,5287446
connect-history-api-fallback,5280166
duplexer,5264938
serve-index,5244708
vinyl,5227903
jest-runner,5218115
capture-exit,5197867
bl,5193200
spdy,5190697
prompts,5190118
js-base64,5189784
throat,5183265
package-json,5170433
import-from,5167192
browser-process-hrtime,5166737
registry-auth-token,5165072
whatwg-mimetype,5146810
jsonify,5143717
selfsigned,5134754
@types/minimatch,5134210
data-urls,5126620
sisteransi,5123944
pn,5111363
thunky,5101416
eslint-plugin-import,5097313
yauzl,5096425
object-is,5094843
@babel/plugin-transform-property-literals,5092122
@babel/plugin-transform-member-expression-literals,5091265
domexception,5088981
@types/glob,5088491
expand-tilde,5087218
jest-leak-detector,5084288
internal-ip,5083766
term-size,5078451
array-includes,5074396
babel-traverse,5071034
duplexer3,5070386
node-gyp,5062462
globule,5060906
stack-utils,5056460
lodash._reinterpolate,5054828
registry-url,5051242
is-generator-fn,5047288
spdy-transport,5046666
next-tick,5043222
detect-node,5042056
mamacro,5037218
resolve-dir,5033378
gaze,5031714
walker,5025860
makeerror,5024440
tmpl,5023740
w3c-hr-time,5022704
hoek,5013103
handle-thing,5002641
jest-each,4996733
shell-quote,4989326
fstream,4988606
filesize,4987633
es6-iterator,4987011
parse-passwd,4964683
lower-case,4956832
glob-to-regexp,4954584
babel-messages,4953219
@jest/types,4951240
kleur,4938888
@types/yargs,4936473
jest-watcher,4932256
wbuf,4930322
obuf,4921773
@types/q,4915122
is-resolvable,4914904
@babel/plugin-transform-reserved-words,4913549
html-minifier,4910065
no-case,4908759
@babel/plugin-transform-runtime,4900744
gzip-size,4894991
dns-packet,4891691
sockjs,4882698
date-now,4875852
upper-case,4870365
camel-case,4862906
babel-template,4856128
multicast-dns,4855783
replace-ext,4850853
latest-version,4841771
sass-loader,4838176
left-pad,4831356
fbjs,4830359
realpath-native,4829167
caniuse-api,4824007
is-svg,4816324
import-cwd,4798368
update-notifier,4798085
postcss-calc,4796346
hpack.js,4785098
date-fns,4784215
select-hose,4780415
http-deceiver,4776442
babel-eslint,4761577
eslint-module-utils,4757065
killable,4742117
bonjour,4739571
simple-swizzle,4735375
ejs,4734690
buffer-indexof,4729400
object.entries,4727847
lodash.clonedeep,4714187
url-loader,4709977
lodash.isplainobject,4706480
param-case,4693661
multicast-dns-service-types,4686845
dns-txt,4686541
default-gateway,4684692
dns-equal,4684072
expand-range,4683546
global-dirs,4683366
@babel/plugin-proposal-dynamic-import,4670188
@jest/console,4648944
call-me-maybe,4648839
object-hash,4636130
eslint-import-resolver-node,4611914
p-reduce,4594460
indexof,4583276
type-detect,4579093
eslint-plugin-react,4562685
is-npm,4558050
@jest/test-result,4557019
is-installed-globally,4555218
babel-generator,4550757
postcss-discard-comments,4546076
recast,4545360
cssnano,4542631
postcss-merge-longhand,4530748
postcss-merge-rules,4530303
regexp.prototype.flags,4530111
postcss-minify-selectors,4527542
postcss-colormin,4524467
postcss-ordered-values,4523648
postcss-svgo,4522457
lodash.get,4520046
postcss-minify-params,4517846
postcss-minify-gradients,4514090
postcss-reduce-transforms,4513393
postcss-reduce-initial,4512176
pirates,4500853
postcss-unique-selectors,4496894
postcss-discard-duplicates,4495490
postcss-discard-empty,4493437
postcss-normalize-url,4491529
postcss-convert-values,4491510
html-webpack-plugin,4485661
postcss-minify-font-values,4481605
